
> my-project@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.30.251:3000
- Environments: .env
✓ Ready in 993ms

○ Compiling /kontak ...
 GET /api/auth/me 200 in 198ms (next.js: 45ms, proxy.ts: 54ms, application-code: 99ms)
 GET /api/users 200 in 237ms (next.js: 35ms, proxy.ts: 55ms, application-code: 147ms)
 GET /api/records/notifications 200 in 215ms (next.js: 68ms, proxy.ts: 118ms, application-code: 29ms)
 GET /api/records/maintenance-mode 200 in 504ms (next.js: 199ms, proxy.ts: 37ms, application-code: 268ms)
 GET /api/records/popup-announcements 200 in 489ms (next.js: 89ms, proxy.ts: 104ms, application-code: 296ms)
 GET /api/records/media-library 200 in 460ms (next.js: 263ms, proxy.ts: 47ms, application-code: 150ms)
 GET /api/records/access-permissions 200 in 499ms (next.js: 382ms, proxy.ts: 94ms, application-code: 23ms)
 GET /api/records/gallery-content 200 in 712ms (next.js: 248ms, proxy.ts: 210ms, application-code: 254ms)
 GET /api/records/admin-inbox 200 in 325ms (next.js: 144ms, proxy.ts: 48ms, application-code: 133ms)
 GET /api/auth/me 200 in 335ms (next.js: 51ms, proxy.ts: 68ms, application-code: 215ms)
 GET /api/records/activity-log 200 in 350ms (next.js: 238ms, proxy.ts: 67ms, application-code: 45ms)
 GET /api/records/homepage-content 200 in 1004ms (next.js: 113ms, proxy.ts: 362ms, application-code: 529ms)
 GET /api/records/admin-inbox 200 in 371ms (next.js: 43ms, proxy.ts: 305ms, application-code: 22ms)
 GET /api/records/activity-log 200 in 374ms (next.js: 43ms, proxy.ts: 309ms, application-code: 23ms)
 GET /api/records/maintenance-mode 200 in 815ms (next.js: 467ms, proxy.ts: 94ms, application-code: 254ms)
 GET /api/records/admin-inbox 200 in 247ms (next.js: 183ms, proxy.ts: 20ms, application-code: 43ms)
 GET /api/records/maintenance-mode 200 in 238ms (next.js: 8ms, proxy.ts: 83ms, application-code: 146ms)
 GET /admin/pesan-masuk 200 in 127ms (next.js: 64ms, proxy.ts: 13ms, application-code: 50ms)
 GET /api/records/system-settings 200 in 176ms (next.js: 59ms, proxy.ts: 67ms, application-code: 49ms)
 GET /api/records/access-permissions 200 in 170ms (next.js: 58ms, proxy.ts: 53ms, application-code: 59ms)
 GET /api/records/admin-inbox 200 in 175ms (next.js: 69ms, proxy.ts: 51ms, application-code: 55ms)
 GET /api/records/activity-log 200 in 182ms (next.js: 76ms, proxy.ts: 51ms, application-code: 56ms)
 GET /api/records/maintenance-mode 200 in 364ms (next.js: 83ms, proxy.ts: 50ms, application-code: 232ms)
 GET /api/records/access-permissions 200 in 285ms (next.js: 55ms, proxy.ts: 192ms, application-code: 39ms)
 GET /api/records/admin-inbox 200 in 294ms (next.js: 61ms, proxy.ts: 191ms, application-code: 43ms)
 GET /api/records/system-settings 200 in 319ms (next.js: 71ms, proxy.ts: 187ms, application-code: 61ms)
 GET /api/records/activity-log 200 in 322ms (next.js: 74ms, proxy.ts: 172ms, application-code: 76ms)
 GET /api/records/maintenance-mode 200 in 415ms (next.js: 214ms, proxy.ts: 33ms, application-code: 167ms)
 GET /api/records/admin-inbox 200 in 206ms (next.js: 44ms, proxy.ts: 78ms, application-code: 83ms)
 GET /api/records/access-permissions 200 in 231ms (next.js: 61ms, proxy.ts: 92ms, application-code: 78ms)
 GET /api/records/admin-inbox 200 in 135ms (next.js: 26ms, proxy.ts: 92ms, application-code: 17ms)
